task_code,phase,sprint,epic,screen_code,function_code,task,person_day,assignee,status,deadline,completed_date,completion_pm,remark
,MVP,,Import / i18n,,,"[1/12] Goal: After English Functions CSV is imported; upload Japanese 機能一覧 CSV so EN/JA toggle reads *_ja fields without treating duplicate function_code as import conflicts.",0.25,,Done,2026-05-03,,,"Problem: second file same codes hit conflict path; needed merge-by-code supplement import."
,MVP,,Import / i18n,,,"[2/12] Types: extend ImportRowStatus with merge and no_match; ImportValidationResult.noMatchCount; ImportValidationPreview.mergeIntoExistingByCode.",0.25,,Done,2026-05-03,,,"Supports preview and finalize wiring for JP supplement uploads."
,MVP,,Import / i18n,,,"[3/12] validateAndMapImportRows: optional mergeIntoExistingByCode; resolve business code field; merge rows join previewRows with status merge; unmatched codes → no_match.",0.5,,Done,2026-05-03,,,"Merge mode uses function_code / screen_code / task_code per tab; conflicts list stays empty for merge path."
,MVP,,Import / i18n,,,"[4/12] finalizeImportRows: FinalizeImportRowsOptions; merge branch loads existing row by code; spread import onto existing; force id + project_id; full sanitizeRowData; skip rewriteCodeIfClaimed.",0.75,,Done,2026-05-03,,,"Avoids TSK/FNC suffix rewrites and prevents wiping EN when only *_ja columns are mapped."
,MVP,,Import / i18n,,,"[5/12] ColumnMappingUI: checkbox Merge into existing rows (match by code) for function_list / screen_list / tasks; pass merge flag into validateAndMapImportRows and preview payload.",0.25,,Done,2026-05-03,,,"User turns on merge when uploading JP translation CSV after primary EN import."
,MVP,,Import / i18n,,,"[6/12] GenericSheet: state for importMergeIntoExistingByCode and importNoMatchCount; pass merge option to finalizeImportRows; reset on flow end.",0.25,,Done,2026-05-03,,,"Preview continue runs finalize with mergeIntoExistingByCode when enabled."
,MVP,,Import / i18n,,,"[7/12] ImportPreviewModal: row styles for merge and no_match; optional stats (merge row count; no matching code); merge-mode banner; localized labels via translate.",0.5,,Done,2026-05-03,,,"Users see which rows update existing records vs skipped codes."
,MVP,,Import / i18n,,,"[8/12] lib/data.ts: Japanese UI strings for merge checkbox; preview stats; Ready to import; merge banner text.",0.15,,Done,2026-05-03,,,"JA copy for batch import merge workflow."
,MVP,,Import / i18n,,,"[9/12] Import Auto-Suggest (Japanese): matchJapaneseImportHeaderToKey; NFKC normalizeImportHeader; IMPORT_HEADER_SYNONYMS for function_list / screen_list / tasks; exact labelJa match prefers *_ja keys.",0.5,,Done,2026-05-03,,,"Example: 画面名→screen_name_ja; コード→function_code; 大カテゴリ→main_category_ja."
,MVP,,Import / i18n,,,"[10/12] ColumnMappingUI: call matchJapaneseImportHeaderToKey in suggestMapping after key/label/underscore passes.",0.15,,Done,2026-05-03,,,"Auto-Suggest maps JP CSV headers to sheet fields including JA columns."
,MVP,,Import / i18n,,,"[11/12] User guidance: CSV is decoded as UTF-8 in ImportModal; Excel JP default CSV often Shift-JIS—save as CSV UTF-8 or use xlsx to avoid mojibake.",0.15,,Done,2026-05-03,,,"Explains garbled Japanese when encoding mismatches; not an xlsx vs csv quality issue per se."
,MVP,,Import / i18n,,,"[12/12] Daily log: create tasks-import-2026-05-03.csv for Task sheet batch import documenting this session.",0.1,,Done,2026-05-03,,,"This file; leave task_code blank for auto TSK-01-NNN assignment."
